trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.9, 'e': 0.7079484379914183}",25,0,-73.79932981574389,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
97,False,"{'a': 0.9, 'e': 0.6932884821904612}",25,17,-18.696836519489253,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.6790792161184909}",30,3,-106.70985397726594,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 2}",1
99,False,"{'a': 0.9, 'e': 0.6653023533074865}",25,0,-101.32059971185474,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
100,False,"{'a': 0.9, 'e': 0.6519405254216898}",20,12,-3.0693116227749324,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.9, 'e': 0.6389772274905918}",20,0,-114.33560997285801,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
102,False,"{'a': 0.9, 'e': 0.6263967669157297}",35,16,-47.13335915011196,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
103,False,"{'a': 0.9, 'e': 0.6141842159569996}",30,12,-52.51678116325846,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
104,False,"{'a': 0.9, 'e': 0.60232536742977}",20,2,-45.22834243986115,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
105,False,"{'a': 0.9, 'e': 0.5908066933671927}",20,0,-117.09162234079564,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
106,False,"{'a': 0.9, 'e': 0.5796153064230527}",25,7,-35.2646329912183,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.9, 'e': 0.568738923809461}",20,10,5.6303624117089495,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 0.5581658335809053}",20,13,-82.5638157695333,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 2}",1
109,False,"{'a': 0.9, 'e': 0.5478848630917932}",35,21,-9.840245155586583,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.9, 'e': 0.5378853494688203}",25,0,-183.2244597981891,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
111,False,"{'a': 0.9, 'e': 0.5281571119524088}",30,18,-6.6772230004588495,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 0.5186904259732177}",20,0,-78.92431770119188,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
113,False,"{'a': 0.9, 'e': 0.5094759988404347}",25,15,-23.399456483273365,"{0: 5, 1: 4, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.9, 'e': 0.5005049469283344}",20,0,-13.799990818462643,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.9, 'e': 0.49176877425649684}",20,4,-3.8019123984939367,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.9, 'e': 0.4832593523672299}",20,13,13.045568530275634,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.9, 'e': 0.4749689014111821}",20,0,-25.239097970022314,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.9, 'e': 0.4668899723589484}",20,0,-102.98356900834766,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
119,False,"{'a': 0.9, 'e': 0.45901543026270564}",20,0,-52.943749502092764,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
120,False,"{'a': 0.9, 'e': 0.45133843849763616}",20,0,6.103209836035695,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.9, 'e': 0.44385244391813594}",20,6,-53.054949449110225,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
122,False,"{'a': 0.9, 'e': 0.4365511628686189}",20,1,32.08897756097824,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.9, 'e': 0.4294285679931447}",20,0,8.193114376658915,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.9, 'e': 0.4224788757921629}",20,0,22.83884177772363,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.9, 'e': 0.415696534878396}",20,9,18.389358191543227,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.9, 'e': 0.40907621488732837}",25,0,-57.48734688947088,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
127,False,"{'a': 0.9, 'e': 0.40261279600092936}",20,3,22.428914607208263,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 0.3963013590461599}",20,0,-33.99671928683719,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
129,False,"{'a': 0.9, 'e': 0.39013717613250165}",25,17,-33.283627049232216,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.9, 'e': 0.3841157017952337}",25,0,14.9974686416798,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.9, 'e': 0.3782325646134707}",20,0,-3.5782352957084402,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.9, 'e': 0.372483559274102}",20,0,-4.845880001398066,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.9, 'e': 0.36686463905472355}",20,6,-7.429982711900921,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
